Rank ,Team ,Conf ,W-L ,Pyth ,AdjO ,,AdjD ,,AdjT ,,Luck ,,SoS-Pyth ,,OppO ,,OppD ,,NCSoS-Pyth,
1,Ohio St. 1,B10,34-3,0.9663,123.3,1,92.1,16,65.1,249,0.031,102,0.7033,22,106.9,15,99.1,39,0.4197,248
2,Kansas 1,B12,35-3,0.9409,116.2,7,91.3,11,69.3,53,0.061,37,0.6663,39,106.2,25,100,72,0.4759,190
3,Pittsburgh 1,BE,28-6,0.9383,117.9,4,93,22,62.9,318,-0.022,236,0.6758,35,105.3,35,98.8,26,0.4002,269
4,Duke 1,ACC,32-5,0.9379,117.7,5,93,21,69.3,51,0.018,138,0.6866,28,105.1,39,98.2,11,0.5829,68
5,Kentucky 4,SEC,29-9,0.9326,115.6,10,92,15,65.9,210,-0.043,284,0.7212,15,106.3,22,97.9,7,0.6134,52
6,Texas 4,B12,28-8,0.9322,113.9,20,90.7,7,66.8,161,-0.058,307,0.6782,33,105.5,32,98.9,29,0.5428,107
7,San Diego St. 2,MWC,34-3,0.9299,111.5,32,89.1,2,63.7,301,0.059,41,0.6758,36,105.7,30,99.2,44,0.5968,62
8,Wisconsin 4,B10,25-9,0.9274,119.8,3,96,53,57.9,344,-0.003,192,0.7328,11,107.7,9,98.7,24,0.4395,225
9,Connecticut 3,BE,32-9,0.9261,114.2,18,91.7,13,65.4,240,0.049,58,0.762,5,107.6,11,97.3,3,0.4887,174
10,Purdue 3,B10,26-8,0.915,114.3,15,92.9,20,67.1,148,0.008,158,0.7225,14,106.6,19,98.1,9,0.497,160
11,Notre Dame 2,BE,27-7,0.911,119.9,2,97.9,78,64.5,273,0.074,23,0.7036,21,105.9,29,98.2,12,0.4093,263
12,Louisville 4,BE,25-10,0.9078,108.8,55,89.2,3,67.9,102,-0.037,271,0.6908,25,106.2,26,99,33,0.3689,300
13,BYU 3,MWC,32-5,0.9068,115.5,11,94.8,38,71.3,19,0.056,46,0.6549,45,104.7,51,99,36,0.5436,102
14,North Carolina 2,ACC,29-8,0.9036,109.8,49,90.4,4,71.7,16,0.064,33,0.7416,8,107.7,10,98.2,13,0.6404,39
15,Syracuse 3,BE,27-8,0.8957,111.7,29,92.7,18,66.5,177,0.033,94,0.7067,19,106.4,21,98.5,20,0.4382,226
16,Florida 2,SEC,29-8,0.8936,114.2,17,94.9,41,64,290,0.037,83,0.6782,34,104.9,48,98.3,14,0.5401,112
17,Utah St. 12,WAC,30-4,0.8816,108.5,60,91.1,9,63.6,306,0.034,90,0.4991,157,102.3,141,102.4,181,0.4582,205
