"","ID","location","Folder","Image_name","Repeat.measure.","Year.taken","DOB","Age","Sex","width","height","fWHR","lffh","Dom","Ext","Con","Agr","Neu","Opn","Dom_CZ","Ext_CZ","Con_CZ","Agr_CZ","Neu_CZ","Opn_CZ","Subspecies"
"1","Akira","Japan","Not online","akira20030324_2","N",2003,"01/01/1980",23,"1","170","116",1.465517241,0.268934721,4.68888888893333,4.0666666666,4.40476190478571,2.72222222233333,4.6666666666,2.8333333335,0.614354511747834,-0.242736897838889,-0.14419015858059,-1.5522191158109,0.73846052827118,-1.18895289178368,"verus"
"2","Akira","Japan","Not online","akira20030324_1","N",2003,"01/01/1980",23,"1","170","126",1.349206349,0.294895226,4.68888888893333,4.0666666666,4.40476190478571,2.72222222233333,4.6666666666,2.8333333335,0.614354511747834,-0.242736897838889,-0.14419015858059,-1.5522191158109,0.73846052827118,-1.18895289178368,"verus"
"3","Alex","Bastrop","","","",NA,"",NA,"1","","",1.280845,0.221788482,4.86875,5.02833333333333,4.00333333333333,4.765,3.9,4.73,0.832707617749982,0.946937195560395,-0.617045877197058,1.14967771060992,-0.136389692873917,0.691651151821175,"troglodytes"
"4","Alpha","Bastrop","","","",NA,"",NA,"0","","",1.36259,0.225672588,4.225,4.62833333333333,4.165,4.625,3.64,5.325,0.0511889717499462,0.45209875119985,-0.426613473329004,0.964505559319441,-0.433078028766314,1.28161217433957,"troglodytes"
"5","Alpha","Bastrop","","","",NA,"",NA,"0","","",NA,0.272202158,4.225,4.62833333333333,4.165,4.625,3.64,5.325,0.0511889717499462,0.45209875119985,-0.426613473329004,0.964505559319441,-0.433078028766314,1.28161217433957,"troglodytes"
"6","Angie","Bastrop","","","",NA,"",NA,"0","","",1.466821,0.355534097,3.3,4.05,4.76666666666667,3.805,3.5,3.6,-1.07176985939574,-0.263355166271438,0.282109184365504,-0.120074183953346,-0.592833286554528,-0.428779025398629,"verus"
"7","April","Bastrop","","","",NA,"",NA,"0","","",1.369839,0.247493291,3.62625,4.62166666666667,3.94,4.85,3.84,4.55,-0.675699244626786,0.443851443793841,-0.691648262217532,1.2621036596077,-0.204856231926009,0.513175548370233,"troglodytes"
"8","Aruku","Japan","Online images","Aruku.20020618_3","N",2002,"12/07/1989",13,"1","84","45",1.866666667,0.340658965,4.48888888886667,4.4000000001,4.69047619057143,4.33333333316667,3.7333333334,4.33333333325,0.371552602229995,0.169628472667749,0.192361954377869,0.578730243910506,-0.326574523498098,0.298343803392952,"verus"
"9","Aruku","Japan","Online images","Aruku.20020618_4","N",2002,"12/07/1989",13,"1","92","48",1.916666667,0.34918619,4.48888888886667,4.4000000001,4.69047619057143,4.33333333316667,3.7333333334,4.33333333325,0.371552602229995,0.169628472667749,0.192361954377869,0.578730243910506,-0.326574523498098,0.298343803392952,"verus"
"10","Aruku","Japan","Online images","Aruku.20020618_1","N",2002,"12/07/1989",13,"1","83","57",1.456140351,0.182724035,4.48888888886667,4.4000000001,4.69047619057143,4.33333333316667,3.7333333334,4.33333333325,0.371552602229995,0.169628472667749,0.192361954377869,0.578730243910506,-0.326574523498098,0.298343803392952,"verus"
